2024-01-25T06:21:18+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T06:34:06+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T06:34:29+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T06:54:18+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T06:56:08+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T07:01:08+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

2024-01-25T07:02:06+00:00 CRITICAL syntax error, unexpected 'CheckoutFields' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /home2/creatyz1/public_html/development/ameritronics/wp-content/plugins/woocommerce/src/StoreApi/Utilities/OrderController.php on line 20

